Entry,Majority protein IDs,Unique peptides R1,Unique peptides R2,Unique peptides R3,Ratio H/L normalized R1,Ratio H/L normalized R2,Ratio H/L normalized R3,Log2FC,Pvalue,FDR
Q9H501,sp|Q9H501|ESF1_HUMAN,36,39,33,1.2697,1.1179,1.0476,0.19543159558816764,0.09127189077471436,0.1609710775230342
Q9H582,sp|Q9H582|ZN644_HUMAN,1,1,2,,,,,,
Q9H583,sp|Q9H583|HEAT1_HUMAN,35,34,40,0.71614,0.81616,0.93333,-0.28300617998070643,0.046960065214087826,0.09930408694953605
Q9H5V9,sp|Q9H5V9|STEEP_HUMAN,10,12,10,2.4497,2.1989,1.7032,1.082202986137743,0.007011581025141677,0.02660394171825185
Q9H6F5,sp|Q9H6F5|CCD86_HUMAN,2,2,4,0.59587,0.82001,0.98469,-0.3215854954972185,0.1508644823301289,0.23350586542472163
Q9H6R0,sp|Q9H6R0|DHX33_HUMAN,7,6,1,1.4295,1.2228,,,,
Q9H6R4,sp|Q9H6R4|NOL6_HUMAN,38,46,42,1.7866,1.6596,1.8429,0.8180597516745898,0.0001478527272453261,0.0030679440903405163
Q9H6S0,sp|Q9H6S0|YTDC2_HUMAN,3,0,3,0.81628,,0.59782,,,
Q9H6T3,sp|Q9H6T3|RPAP3_HUMAN,2,3,2,1.2439,0.90056,,,,
Q9H6Y2,sp|Q9H6Y2|WDR55_HUMAN,3,4,4,1.9538,1.7106,1.3472,0.7403087700748034,0.019031681984100046,0.05287463111900599
Q9H7B2,sp|Q9H7B2|RPF2_HUMAN,1,1,1,,,,,,
Q9H7N4,sp|Q9H7N4|SFR19_HUMAN,1,1,0,,,,,,
Q9H7T9,sp|Q9H7T9|AUNIP_HUMAN,1,1,1,,,,,,
Q9H814,sp|Q9H814|PHAX_HUMAN,4,1,1,0.56035,,,,,
Q9H8H2,sp|Q9H8H2|DDX31_HUMAN,14,14,12,0.80678,0.71071,0.83363,-0.3516143254108833,0.004403388847926011,0.019755744560965346
Q9H8H3,sp|Q9H8H3|TMT1A_HUMAN,1,1,1,,,,,,
Q9H8M2,sp|Q9H8M2|BRD9_HUMAN,1,3,4,,1.5449,2.232,,,
